país,año,población
Africa Eastern and Southern,2023,750503764.0
Africa Eastern and Southern,2022,731821393.0
Africa Eastern and Southern,2021,713090928.0
Africa Eastern and Southern,2020,694446100.0
Africa Eastern and Southern,2019,675950189.0
Africa Eastern and Southern,2018,657801085.0
Africa Eastern and Southern,2017,640058741.0
Africa Eastern and Southern,2016,623369401.0
Africa Eastern and Southern,2015,607123269.0
Africa Eastern and Southern,2014,590968990.0
Africa Eastern and Southern,2013,575202699.0
Africa Eastern and Southern,2012,559609961.0
Africa Eastern and Southern,2011,544737983.0
Africa Eastern and Southern,2010,530308387.0
Africa Eastern and Southern,2009,516003448.0
Africa Eastern and Southern,2008,502070763.0
Africa Eastern and Southern,2007,488580707.0
Africa Eastern and Southern,2006,475606210.0
Africa Eastern and Southern,2005,463076637.0
Africa Eastern and Southern,2004,450928044.0
Africa Eastern and Southern,2003,439173286.0
Africa Eastern and Southern,2002,427820358.0
Africa Eastern and Southern,2001,416807868.0
Africa Eastern and Southern,2000,406156661.0
Africa Eastern and Southern,1999,395750933.0
Africa Eastern and Southern,1998,385505757.0
Africa Eastern and Southern,1997,375646235.0
Africa Eastern and Southern,1996,366138524.0
Africa Eastern and Southern,1995,356580375.0
Africa Eastern and Southern,1994,347441809.0
Africa Eastern and Southern,1993,338324002.0
Africa Eastern and Southern,1992,329082707.0
Africa Eastern and Southern,1991,320442961.0
Africa Eastern and Southern,1990,311748681.0
Africa Eastern and Southern,1989,302939121.0
Africa Eastern and Southern,1988,294498625.0
Africa Eastern and Southern,1987,286067346.0
Africa Eastern and Southern,1986,277621771.0
Africa Eastern and Southern,1985,269450407.0
Africa Eastern and Southern,1984,261458202.0
Africa Eastern and Southern,1983,253644643.0
Africa Eastern and Southern,1982,245822010.0
Africa Eastern and Southern,1981,238043099.0
Africa Eastern and Southern,1980,230792729.0
Africa Eastern and Southern,1979,223974122.0
Africa Eastern and Southern,1978,217074286.0
Africa Eastern and Southern,1977,210680842.0
Africa Eastern and Southern,1976,204802976.0
Africa Eastern and Southern,1975,198914573.0
Africa Eastern and Southern,1974,193186642.0
Africa Eastern and Southern,1973,187524135.0
Africa Eastern and Southern,1972,182126556.0
Africa Eastern and Southern,1971,177022314.0
Africa Eastern and Southern,1970,171984985.0
Africa Eastern and Southern,1969,167088245.0
Africa Eastern and Southern,1968,162329396.0
Africa Eastern and Southern,1967,157704381.0
Africa Eastern and Southern,1966,153281203.0
Africa Eastern and Southern,1965,149033472.0
Africa Eastern and Southern,1964,144904094.0
Africa Eastern and Southern,1963,140945536.0
Africa Eastern and Southern,1962,137171659.0
Africa Eastern and Southern,1961,133534923.0
Africa Eastern and Southern,1960,130072080.0
Africa Western and Central,2023,509398589.0
Africa Western and Central,2022,497387180.0
Africa Western and Central,2021,485920997.0
Africa Western and Central,2020,474569351.0
Africa Western and Central,2019,463365429.0
Africa Western and Central,2018,452195915.0
Africa Western and Central,2017,440882906.0
Africa Western and Central,2016,429454743.0
Africa Western and Central,2015,418127845.0
Africa Western and Central,2014,406992047.0
Africa Western and Central,2013,396030207.0
Africa Western and Central,2012,385360349.0
Africa Western and Central,2011,374790143.0
Africa Western and Central,2010,364358270.0
Africa Western and Central,2009,354343844.0
Africa Western and Central,2008,344586109.0
Africa Western and Central,2007,334984176.0
Africa Western and Central,2006,325663158.0
Africa Western and Central,2005,316588476.0
Africa Western and Central,2004,307725100.0
Africa Western and Central,2003,299142845.0
Africa Western and Central,2002,290841795.0
Africa Western and Central,2001,282780717.0
Africa Western and Central,2000,274968446.0
Africa Western and Central,1999,267506298.0
Africa Western and Central,1998,260297834.0
Africa Western and Central,1997,253207584.0
